title_fa,title_en,open_jobs,category,company_size,company_site,year
پرتو هوشمند ورنا , Verna,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
توسعه مبادلات فناورانه ايرانيان , Iranian Technological Exchange Development,۰,مالی و اعتباری,۲ - ۱۰ نفر,irdevelop.ir,None
گروه بازرگانی عادلی , Adeli Part,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,adelipart.com/,None
مرکز کارگاه‌های پایش , Payesh,۰,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,None,None
حقوقدان , Hoghooghdaan,۰,وکالت و حقوقی,۱۱ تا ۵۰ نفر,www.hoghooghdaan.com,None
بازرگانی مائده  , Maedeh Trade Company,۰,تولید و صنایع,۵۱ تا ۲۰۰ نفر,None,None
فریک اوت ایران , FreakOut IR,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,ir.foutap.com,None
همچاپ , Hamchap,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,www.hamchap.ir,None
کوثر نقش جهان , Knnj co,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.e-pasmand.ir,None
بازی گستران دریک , Bazigostaran Derick,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
اکباتان هاست , Ekbatan Host,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.ekbatanhost.ir,None
دی ای اس , DAS,۰,تولید و صنایع,۲ - ۱۰ نفر,dasiran.com,None
لتکا آبی کیش , BLUE LOTKA KISH,۰,حمل و نقل، لاجستیک و انبارداری,۱۱ تا ۵۰ نفر,www.bluelotka.com,None
اليت , Elite,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
شفاگستر متین , Shefagostar Matin,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,bonwou.ir,None
پارسافن , Parsafan,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
لیمومی , Limoome,۰,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,None,None
آتیه ژرف اندیشان سیمرغ , Atieh,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
لرد , Lord,۰,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,None,None
روزانو , Astino,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
شرکت تجارت یابان سامان , TYS,۰,واردات و صادرات,۱۱ تا ۵۰ نفر,None,None
گروه صنایع غذایی سولیکو (کاله) , (Solico Group (kalleh,۰,کالای مصرفی و خوراکی,بیش از ۱۰۰۰ نفر,www.solico-group.com/fa/,None
توسعه سام  , SAM Development Ltd.,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,sammgmt.com,None
دامون هیدرو , Damon Hydro Engineering Co.,۰,نفت و گاز,۱۱ تا ۵۰ نفر,None,None
پارسی مام , Parsimom,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,parsimom.com,None
وریا سرمایه پویانه , Veria Pouyane Investment,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,vpico.org,None
داده گستر عصر ارتباطات مشکات , Meshkat,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ایده پردازان , IPco,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
پادکاو انرژی , Padkav Energy,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
این فرم , Ienform,۰,معماری و عمران,۲ - ۱۰ نفر,None,None
روزنت , Ruznet,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
موبایل پروگرمینگ , Mobileprogram,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,mobileprogram.ir/,None
ایمان , Iman Company,۰,تولید و صنایع,۵۱ تا ۲۰۰ نفر,www.ipi-co.ir,None
آی تی شمس , ITShams,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,itshams.ir,None
خانه آب ایران , Iranwaterhouse,۰,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,waterhouse.ir,None
کانون ویراستاران جوان  , Virastaran,۰,رسانه و انتشارات,۲ - ۱۰ نفر,None,None
آینده نگر , Ayandeh Negar,۰,مالی و اعتباری,۲ - ۱۰ نفر,www.boors-jahani.com,None
میداس , Midas,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
هوشمند تدبیر ماهان , Hooshmand Tadbir Mahan,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ویراکو , Vira,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ماهنامه دستاورد صنعت , Dastavard Sanat,۰,رسانه و انتشارات,۲ - ۱۰ نفر,None,None
بهروز سیر , Behrooz seir,۰,گردشگری و هتل‌ها,۲ - ۱۰ نفر,Www.bs41516.com,None
رایان آراد ایرانیان , Rayan Arad Iranian,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.rayanai.ir,None
اسپید سامانه , Speed Co,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,speedco.ir,None
تک کو , Tech Co,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
تکنوپل , Technopol,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,Technopol.ir,None
عروسان , Arusan,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,arusan.ir,None
گلرنگ سیستم , Golrang System,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,None,None
هوماش , Hoomash,۰,کامپیوتر، فناوری اطلاعات و اینترنت,یک نفر (من),None,None
فرزان کویر یزد , Farzan Kavire Yazd,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,None,None
اوپارسین (آموزاش گستران آینده) , Oparsin,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
نمايندگي بيمه سامان , Samaninsurance ,۰,بیمه,۲ - ۱۰ نفر,None,None
پشتیبانی و توسعه نرم افزار داده کاوان , Dadekavan Software Development & Support,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,dadekavanco.com/,None
هانوفر , Hanofer,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,None,None
حریر پردیس شهریار , HPS,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,hpsco.net,None
سانا , Sana,۰,بیمه,یک نفر (من),None,None
گروه پشتیبان وب , Poshtiban Web,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.poshtibanweb.net/,None
پیراژ عرش , Piragarsh,۰,معماری و عمران,۲ - ۱۰ نفر,None,None
پیشگامان , Pishgaman,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.paoit.ir,None
پرشین سازه  , Pesian Sazeh,۰,واردات و صادرات,۵۱ تا ۲۰۰ نفر,WWW.PERSIAN-SAZEH.COM,None
مایتل , MyTel,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
شرکت خردمات بالینی در منزل الهیه , Mooyrag,۰,خدمات درمانی، پزشکی و سلامت,۵۱ تا ۲۰۰ نفر,None,None
موسسه پژوهش , Pazhuhesh Institute,۰,آموزش، مدارس و دانشگاه‌ها,۵۱ تا ۲۰۰ نفر,www.pazhuhesh.org,None
بهینه پرداز , Behineh Pardaz,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,behineh-pardaz.ir/,None
هارد تک , Hardtech,۰,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,hard-tech.ir,None
بیست پله , 20Pelle,۰,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,None,None
مرکز زیبایی رویش  , Rouyesh Center,۰,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,rooyeshsabz.com/,None
پژوهشکده فناوری اطلاعات و ارتباطات دانشگاه صنعتی امیرکبیر , Information Communication and Technology Research Center of AUT,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,iot.aut.ac.ir,None
صنایع الکتریکی پارمیس  , Parmisco,۰,تولید و صنایع,۱۱ تا ۵۰ نفر,None,None
موسسه حقوقی قانون , Ghanoon Group,۰,وکالت و حقوقی,۲ - ۱۰ نفر,None,None
ساعی نوین , Saienovin,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
شیمی کشاورز , Shimi Keshavarz,۰,کشاورزی,۵۱ تا ۲۰۰ نفر,mac-ir.com/,None
آوای گردشگران یاس , Avaye Gardeshgaran Yas,۰,گردشگری و هتل‌ها,۱۱ تا ۵۰ نفر,irantour24.com,None
فروشگاه صنعتگری , Sanatgare,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,sanatgare.com/,None
داده گستر سلامتی , Dade Gostar Salamti ,۰,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,niayeshclub.com,None
تن سان طب , Tansan Teb,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
موسسه آموزشی رای نو , Ray No Media Agency,۰,آموزش، مدارس و دانشگاه‌ها,۱۱ تا ۵۰ نفر,None,None
کارآزما موفق اندیشان , Kazmo,۰,واردات و صادرات,۲ - ۱۰ نفر,None,None
روزبهان  , Rouzbahan,۰,کالای مصرفی و خوراکی,۲ - ۱۰ نفر,None,None
آریا آپدیت , Arya Update,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,aryaupdate.com,None
تیساز , Tisaz,۰,تولید و صنایع,۱۱ تا ۵۰ نفر,www.tisaz.com,None
اعراف , Araf,۰,آموزش، مدارس و دانشگاه‌ها,۱۱ تا ۵۰ نفر,araf.ir,None
بهین تجارت اولر , Owler Beheen Trading,۰,واردات و صادرات,۱۱ تا ۵۰ نفر,None,None
هایپرتایر , Hyper Tire,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۱۱ تا ۵۰ نفر,www.hypertire.com,None
هفت اختر خلیج  , Gulf Seven Star,۰,واردات و صادرات,۲ - ۱۰ نفر,www.pansea.co,None
آراد اتوماسیون , Arad Automation,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آویژه صنعت ایمن , .Avije Sanat Imen Co,۰,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,avijeco.ir,None
پیراد , Payrad,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
آژانس هوایی اوج دنیا  , Ouj Donya,۰,گردشگری و هتل‌ها,۲ - ۱۰ نفر,None,None
آداک , Adak,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
صنایع آب و عمران ایران , Sanaye Ab Va Omran Iran,۰,تولید و صنایع,۱۱ تا ۵۰ نفر,None,None
زمانک , Zamanak,۰,مخابرات و ارتباطات (تلکام),۲۰۱ تا ۵۰۰ نفر,shamimsalamati.ir,None
آروین , Arvin,۰,تولید و صنایع,۲ - ۱۰ نفر,None,None
رایانه خدمات توس , Toos Computer Services,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
شرکت تعالیروز ایرانیان , IME,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,imtmc.ir,None
اندیشه پردازان اطلس , Andishe Pardazan Atlas,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,www.atlasartnet.com,None
پازل , Puzzle,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
برترجاب , Bartar Job,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,bartarjob.com,None
